date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:31	39249/39249	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/sticky-footer-navbar.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/sticky-footer-navbar.jpg	(from http://getbootstrap.com/getting-started/)
22:24:32	7339/7339	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/offcanvas/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/offcanvas/index.html	(from http://getbootstrap.com/getting-started/)
22:24:33	18432/18432	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/migration/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/migration/index.html	(from http://getbootstrap.com/getting-started/)
22:24:34	20361/20361	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/browser-bugs/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/browser-bugs/index.html	(from http://getbootstrap.com/getting-started/)
22:24:34	4217/4217	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20May%202016%2016:24:34%20GMT	http://getbootstrap.com/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/cdn-cgi/l/email-protection.html	(from http://getbootstrap.com/css/)
22:24:34	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20May%202016%2016:24:35%20GMT	http://getbootstrap.com/components	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/components	(from http://getbootstrap.com/css/)
22:24:35	61060/61060	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/non-responsive.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/non-responsive.jpg	(from http://getbootstrap.com/getting-started/)
22:24:40	112527/112527	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/offcanvas.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/offcanvas.jpg	(from http://getbootstrap.com/getting-started/)
22:24:41	1171/1171	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Aug%202011%2005:04:27%20GMT	https://secure.gravatar.com/avatar/bc4ab438f7a4ce1c406aadc688427f2c.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/bc4ab438f7a4ce1c406aadc688427f2cc3b8.jpeg	(from http://getbootstrap.com/about/)
22:24:42	2758/2758	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Sep%202015%2020:44:00%20GMT	https://secure.gravatar.com/avatar/a98244cbdacaf1c0b55499466002f7a8.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/a98244cbdacaf1c0b55499466002f7a8c3b8.png	(from http://getbootstrap.com/about/)
22:24:43	1419/1419	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Sep%202010%2022:11:48%20GMT	https://secure.gravatar.com/avatar/edec428c425453955f770095a7d26c50.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/edec428c425453955f770095a7d26c50c3b8.png	(from http://getbootstrap.com/about/)
22:24:43	1203/1203	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Nov%202013%2022:30:45%20GMT	https://secure.gravatar.com/avatar/0f7dd3ce58a416be5685ea6194f82b11.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/0f7dd3ce58a416be5685ea6194f82b11c3b8.jpeg	(from http://getbootstrap.com/about/)
22:24:45	1308/1308	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Jul%202013%2023:47:40%20GMT	https://secure.gravatar.com/avatar/e37759b1ea0125d4e97b1e00b5eed26f.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/e37759b1ea0125d4e97b1e00b5eed26fc3b8.jpeg	(from http://getbootstrap.com/about/)
22:24:51	779/779	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202012%2018:50:44%20GMT	https://secure.gravatar.com/avatar/0d53f5d3d3d28bd470f394d98f7ef48f.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/0d53f5d3d3d28bd470f394d98f7ef48fc3b8.png	(from http://getbootstrap.com/about/)
22:24:52	1284/1284	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Apr%202014%2009:21:04%20GMT	https://secure.gravatar.com/avatar/357f279672db832fc41a5a2f36559fcb.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/357f279672db832fc41a5a2f36559fcbc3b8.jpeg	(from http://getbootstrap.com/about/)
22:24:52	1306/1306	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202011%2019:59:05%20GMT	https://secure.gravatar.com/avatar/24cd55ab1a62ffb113ab8c02f64c9301.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/24cd55ab1a62ffb113ab8c02f64c9301c3b8.jpeg	(from http://getbootstrap.com/about/)
22:24:52	1268/1268	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Apr%202016%2003:28:39%20GMT	https://secure.gravatar.com/avatar/729f685b8e8d7e9feed18c177c82e59b.jpg?s=32	C:/My%20Web%20Sites/http___getbootstrap.com_/secure.gravatar.com/avatar/729f685b8e8d7e9feed18c177c82e59bc3b8.jpeg	(from http://getbootstrap.com/about/)
